Actor ID ,Agency name,Abbreviation,Actor type,Address,Donor,Sector,Program,Refugee Programming,Beneficiaries,Detailed Activity description,Division,Parish,Start (year),Start (month),End (year),End (month)
114,HelpAge Uganda,DCA,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Wal-Mark Africa Safaris,Education,Guidance and Counselling,For Refugee Host community,1848,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,NDEEBA,2016,March,2018,April
115,Forum for Education NGO's in Uganda(FENU),MoH,Government ,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Wal-Mark Africa Safaris,Health ,HIV/AIDS,For Refugees only,3560,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,BUSEGA,2016,March,2021,May
116,Women's International Cross Cultural Exchange (ISIS - WICCE),UNHCR ,UN,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Wal-Mark Africa Safaris,Protection ,Immunization,For both Refugees and Host community,1288,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,MAKERERE UNIVERSITY,2016,March,2021,May
117,Action Aid International Uganda,ACF,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Wal-Mark Africa Safaris,WASH,Maternal and Child Health,For Refugees only,1073,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,NAKASERO I,2003,May ,2016,July 
118,The African Network for Prevention Against Child Abuse and Neglect Uganda,ARC,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Wal-Mark Africa Safaris,Health ,BTVET,For Refugees only,4386,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,LUBYA,2016,March,2018,April
119,Defenders Protection Initiative,DCA,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Wal-Mark Africa Safaris,Education,Community Health,For Refugee Host community,462,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,BUKOTO I,2016,March,2018,April
120,National Association of Women Organisations in Uganda(NAWOU),MoH,Government ,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Wal-Mark Africa Safaris,Health ,Disease Control,For Refugees only,4984,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,KIWATULE,2016,March,2021,May
121,Foundation for Human Rights Initiative,UNHCR ,UN,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Wal-Mark Africa Safaris,Protection ,Guidance and Counselling,For both Refugees and Host community,288,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,KANYANYA,2016,March,2021,May
122,WaterAid Uganda,ACF,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Wal-Mark Africa Safaris,WASH,HIV/AIDS,For Refugees only,4667,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,KOLOLO II,2003,May ,2016,July 
123,Econ Children's Village,ARC,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Wal-Mark Africa Safaris,Health ,Immunization,For Refugees only,4569,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,KAZO ANGOLA,2016,March,2018,April
124,Africa Sustainable Tourism Care Foundation (ASTCF),DCA,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Wal-Mark Africa Safaris,Education,Maternal and Child Health,For Refugee Host community,4146,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,NSAMBYA RAILWAY,2016,March,2018,April
125,ACO Africa,MoH,Government ,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Wal-Mark Africa Safaris,Health ,BTVET,For Refugees only,2756,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,INDUSTRIAL AREA,2016,March,2021,May
126,Love Volunteers,UNHCR ,UN,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Wal-Mark Africa Safaris,Protection ,Community Health,For both Refugees and Host community,3296,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,KIKAAYA,2016,March,2021,May
127,Village Hope International,ACF,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Wal-Mark Africa Safaris,WASH,Disease Control,For Refugees only,2957,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,BWAISE III,2003,May ,2016,July 
128,MACERUDET Uganda Volunteers,ARC,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Wal-Mark Africa Safaris,Health ,Guidance and Counselling,For Refugees only,4860,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,KABOWA,2016,March,2018,April
129,Kibuku Community Centre,DCA,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Wal-Mark Africa Safaris,Education,HIV/AIDS,For Refugee Host community,2935,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,BUKASA,2016,March,2018,April
130,Kitega Community Centre,MoH,Government ,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Wal-Mark Africa Safaris,Health ,Immunization,For Refugees only,217,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,BUKESA,2016,March,2021,May
131,Wal-Mark Africa Safaris,UNHCR ,UN,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Wal-Mark Africa Safaris,Protection ,BTVET,For both Refugees and Host community,3268,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,KISENYI II,2016,March,2021,May
132,RWEYOWA,ACF,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",RWEYOWA,WASH,Community Health,For Refugees only,2470,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,NAGURU II,2003,May ,2016,July 
133,Divine Children Orphanage Home,ARC,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",RWEYOWA,Health ,Disease Control,For Refugees only,1737,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,KAMWOKYA I,2016,March,2018,April
134,Uplift A Child Africa,DCA,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",RWEYOWA,Education,Guidance and Counselling,For Refugee Host community,58,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,KOLOLO I,2016,March,2018,April
135,BUVAD,MoH,Government ,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",RWEYOWA,Health ,BTVET,For Refugees only,2905,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,MBUYA I,2016,March,2021,May
136,uganda womens network(UWONET),UNHCR ,UN,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",RWEYOWA,Protection ,Community Health,For both Refugees and Host community,551,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,LUBAGA,2016,March,2021,May
137,Caritas Kampala,ACF,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",RWEYOWA,WASH,Disease Control,For Refugees only,3019,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,MULAGO III,2003,May ,2016,July 
138,SNV,ARC,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",RWEYOWA,Health ,Guidance and Counselling,For Refugees only,223,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,BUTABIKA,2016,March,2018,April
139,Community intergrated development initiatives,DCA,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",RWEYOWA,Education,HIV/AIDS,For Refugee Host community,4994,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,NAJJANANKUMBI II,2016,March,2018,April
140,somero uganda,MoH,Government ,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",RWEYOWA,Health ,Immunization,For Refugees only,384,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,NAKASERO III,2016,March,2021,May
141,NUHA foundation,UNHCR ,UN,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",RWEYOWA,Protection ,Maternal and Child Health,For both Refugees and Host community,4447,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,LUBYA,2016,March,2021,May
142,Girl Child Network Uganda,ACF,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",RWEYOWA,WASH,Mental Health,For Refugees only,587,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,NAKAWA,2003,May ,2016,July 
143,HEPS-Uganda,ARC,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",RWEYOWA,Health ,Palliative Care,For Refugees only,260,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,LUNGUJJA,2016,March,2018,April
144,Water For People,DCA,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",RWEYOWA,Education,Special Needs and Inclusive Education,For Refugee Host community,1269,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,KISUGU,2016,March,2018,April
145,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,
